arm,category,component,count,max,mean,min,stage,std
A,candle,entropy_normal,18,0.8808398246765137,0.8695961833000183,0.8655080795288086,2,0.004024738911539316
A,candle,entropy_abnormal,18,0.8462073802947998,0.8352505564689636,0.8313038349151611,2,0.00390741927549243
A,candle,routing_l1,18,0.07311330735683441,0.0724882259964943,0.07078155875205994,2,0.0006115437718108296
A,candle,gap_ss2d_l1,18,0.9156083464622498,0.9012489318847656,0.896054744720459,2,0.005128589924424887
A,candle,gap_normal,54,0.5810982584953308,0.3333333432674408,0.05765509605407715,3,0.19936028122901917
A,candle,gap_abnormal,54,0.5537895560264587,0.3333333432674408,0.03123241849243641,3,0.2106320858001709
A,candle,ss2d_normal,54,1.0,0.3333333432674408,1.8077923483555845e-29,3,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.6147315114103294e-36,3,0.471404492855072
A,candle,final_normal,54,0.5229884386062622,0.333333283662796,0.1518895924091339,3,0.13729459047317505
A,candle,final_abnormal,54,0.49841058254241943,0.333333283662796,0.1281091719865799,3,0.14417102932929993
A,candle,entropy_normal,18,1.0168352127075195,1.0100867748260498,0.9905427098274231,3,0.008741666562855244
A,candle,entropy_abnormal,18,0.9988886117935181,0.9934107661247253,0.9781438112258911,3,0.006986025255173445
A,candle,routing_l1,18,0.09671653807163239,0.0900382250547409,0.08772291243076324,3,0.002992752706632018
A,candle,gap_ss2d_l1,18,1.8846898078918457,1.8521828651428223,1.8403725624084473,3,0.01498137041926384
H,candle,gap_normal,54,0.5601143836975098,0.333333283662796,0.09476429224014282,1,0.18962250649929047
H,candle,gap_abnormal,54,0.5611124038696289,0.3333333432674408,0.04450882226228714,1,0.21489626169204712
H,candle,ss2d_normal,54,0.9999994039535522,0.3333333432674408,1.9463162795456362e-23,1,0.4714040756225586
H,candle,ss2d_abnormal,54,0.9999666213989258,0.3333333432674408,4.273519630648011e-33,1,0.4713808596134186
H,candle,final_normal,54,0.6041029095649719,0.3333333730697632,0.08528786152601242,1,0.21191412210464478
H,candle,final_abnormal,54,0.6049978137016296,0.333333283662796,0.040057938545942307,1,0.23078018426895142
H,candle,entropy_normal,18,0.8799921274185181,0.8787164092063904,0.8775998950004578,1,0.000628006411716342
H,candle,entropy_abnormal,18,0.8029301166534424,0.8016659021377563,0.8005626797676086,1,0.0006214175373315811
H,candle,routing_l1,18,0.09101159870624542,0.0907183513045311,0.09045986831188202,1,0.00014473577903117985
H,candle,gap_ss2d_l1,18,0.8830864429473877,0.8813167214393616,0.8797699809074402,1,0.0008708210079930723
